project_slug,project_name,market_cap_usd,price_usd,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_invested
intentx,INTX,2504625683.37,50.63,1800000.0,0.000718670263565325,6,mirana-ventures,Mirana Ventures,300000.0
intentx,INTX,2504625683.37,50.63,1800000.0,0.000718670263565325,6,orbs,Orbs,300000.0
intentx,INTX,2504625683.37,50.63,1800000.0,0.000718670263565325,6,manifold-trading,Manifold Trading,300000.0
intentx,INTX,2504625683.37,50.63,1800000.0,0.000718670263565325,6,selini-capital,Selini Capital,300000.0
intentx,INTX,2504625683.37,50.63,1800000.0,0.000718670263565325,6,mantle,Mantle,300000.0
falcon-finance,USDF,2215861640.92,0.9983,10000000.0,0.004512917149397521,1,world-liberty-financial,World Liberty Financial,10000000.0
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,mexc-global-privcode-capital,MEXC Global (Privcode Capital),62000000.0
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,franklin-templeton,Franklin Templeton,20518518.51851852
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,dragonfly-capital,Dragonfly Capital,20518518.51851852
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,polychain-capital,Polychain Capital,20000000.0
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,pantera-capital,Pantera Capital,20000000.0
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,f-prime-capital,F-Prime Capital,20000000.0
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,nascent,Nascent,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,dcf-god,DCF GOD,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,mirana-ventures,Mirana Ventures,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,gsr-markets-gsr,GSR Markets (GSR),518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,andrew-kang,Andrew Kang,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,maelstrom,Maelstrom,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,delphi-digital-delphi-labs,Delphi Digital (Delphi Labs),518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,hashed,Hashed,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,galaxy-digital,Galaxy,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,okx-ventures,OKX Ventures,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,lightspeed-venture-partners,Lightspeed Venture Partners,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,kraken-ventures,Kraken,518518.51851851854
