project,slug,category,market_cap,total_invested,roi,investor_count,investors,top_investor,top_investment
Inference,inference,,,177000000.0,,1,Multicoin Capital,Multicoin Capital,177000000.0
Crunchdao,crunchdao,,,127500000.0,,1,Multicoin Capital,Multicoin Capital,127500000.0
Yield Xyz,yield-xyz,,,75000000.0,,1,Multicoin Capital,Multicoin Capital,75000000.0
Gradient Network,gradient-network,,,150000000.0,,1,Multicoin Capital,Multicoin Capital,150000000.0
P2P Me,p2p-me,,,30000000.0,,1,Multicoin Capital,Multicoin Capital,30000000.0
Double Zero Crypto Coin,double-zero-crypto-coin,,450240000.0,420000000.0,1.072,1,Multicoin Capital,Multicoin Capital,420000000.0
Across Protocol,across-protocol,,37470000.0,615000000.0,0.06092682926829268,1,Multicoin Capital,Multicoin Capital,615000000.0
Fantv,fantv,,,82500000.0,,1,Multicoin Capital,Multicoin Capital,82500000.0
Geodnet,geodnet,,64680000.00000001,120000000.0,0.539,1,Multicoin Capital,Multicoin Capital,120000000.0
Mevvy,mevvy,,,42000000.0,,1,Multicoin Capital,Multicoin Capital,42000000.0
Drift Protocol,drift-protocol,,92480000.0,375000000.0,0.24661333333333332,1,Multicoin Capital,Multicoin Capital,375000000.0
Pipe Network,pipe-network,,7040000.0,150000000.0,0.046933333333333334,1,Multicoin Capital,Multicoin Capital,150000000.0
Fuseenergy,fuseenergy,,,180000000.0,,1,Multicoin Capital,Multicoin Capital,180000000.0
Zkme,zkme,,,60000000.0,,1,Multicoin Capital,Multicoin Capital,60000000.0
Mountain Protocol USDUSDM,mountain-protocol-usd,,47650000.0,120000000.0,0.39708333333333334,1,Multicoin Capital,Multicoin Capital,120000000.0
El Dorado,el-dorado,,,45000000.0,,1,Multicoin Capital,Multicoin Capital,45000000.0
