project_slug,project_name,symbol,category,market_cap_usd,price_usd,ico_price_usd,ico_roi,total_invested,invest_mcap_ratio,first_valuation,last_valuation,funds_count,top_funds
grix,Grix,,DEX,2024078.75,0.01842,,,1100000.0,0.5434571159842472,11000000,11000000,4,"Collider Ventures ($275,000); Tal Cohen ($275,000); Chen Magen ($275,000); Guil Lambert ($275,000)"
e-money-network,E Money Network,EMYC,Modular Blockchain,2006976.51,0.01317,,,3299999.9999999995,1.6442643865323563,33000000,33000000,9,"Morningstar Ventures ($366,667); Animoca Brands ($366,667); Momentum 6 ($366,667); GBV Capital ($366,667); KuCoin ($366,667)"
thala,Thala,THL,DeFi,2003388.62,0.0327,,,6000000.0,2.994925667492311,60000000,60000000,7,"ParaFi Capital ($857,143); LedgerPrime ($857,143); Shima Capital ($857,143); White Star Capital ($857,143); Infinity Ventures Crypto (IVC) ($857,143)"
superfluid,Superfluid,,DeFi,1999934.55,0.03365,,,5100000.0,2.55008345148095,51000000,51000000,15,"Multicoin Capital ($340,000); Fabric Ventures ($340,000); The Lao ($340,000); IOSG Ventures ($340,000); Eterna Capital ($340,000)"
port3-network,Port3 Network,PORT3,DePIN,1974043.74,0.002862,0.05,0.06x,10000000.000000002,5.065743882655813,30000000,70000000,10,"Gate.io ($2,333,333); Emurgo ($2,333,333); Adaverse ($2,333,333); Momentum 6 ($428,571); ViaBTC Capital ($428,571)"
karate-combat,Karate Combat,KARATE,Gaming,1895511.02,2.844e-05,0.000727,0.04x,18017500.0,9.505352282256846,59950000,59950000,18,"BitScale Capital ($1,000,972); Aleksander Larsen (Psycheout) ($1,000,972); Blockchain Coinvestors ($1,000,972); Cypher Capital ($1,000,972); Alpha Wave Global ($1,000,972)"
shiden,Shiden Network,SDN,NFT,1847375.45,0.02748,1.3565,0.02x,22000000.0,11.908786597764953,220000000,220000000,4,"Digital Finance Group (DFG) ($5,500,000); Alameda Research ($5,500,000); Crypto.com ($5,500,000); Polychain Capital ($5,500,000)"
aki-protocol,Aki Protocol,AKI,Blockchain Service,1826614.85,0.00108,,,40000000.0,21.898431407146393,400000000,400000000,9,"Incuba Alpha ($4,444,444); Alchemy Pay ($4,444,444); Mask Network ($4,444,444); CatcherVC ($4,444,444); Oxbull ($4,444,444)"
ztx,ZTX,ZTX,Social,1764817.42,0.0004204,,,13000000.0,7.366201088382276,130000000,130000000,5,"Everest Ventures ($2,600,000); Collab+Currency ($2,600,000); Jump Crypto ($2,600,000); Parataxis ($2,600,000); MZ Web3 Fund ($2,600,000)"
main-street-usd,Main Street USD,MSUSD,Stablecoin,1742672.06,0.9998,,,400000.0,0.229532571951604,4000000,4000000,1,"Sonic ($400,000)"
eesee,Eesee,ESE,NFT,1740056.52,0.002842,,,2850000.0000000005,1.6378778316925018,28500000,28500000,7,"Momentum 6 ($407,143); SevenX Ventures ($407,143); Maven Capital ($407,143); Contango Digital Assets ($407,143); Daedalus ($407,143)"
tune-fm,Tune.Fm,JAM,Music,1711245.93,5.75e-05,,,20000000.0,11.687390835752053,200000000,200000000,1,"LDA Capital ($20,000,000)"
gamium,Gamium,GMM,Metaverse,1703487.69,3.432e-05,0.0003,0.11x,2250000.0,1.320819641496793,15000000,15000000,11,"ZBS Capital ($204,545); RR2 CAPITAL ($204,545); MV Global ($204,545); Parachain Ventures ($204,545); Peech Capital ($204,545)"
satlayer,SatLayer,SLAY,Liquid Staking Tokens (LSTs),1688904,0.003346,,,8000000.0,4.736799723370896,80000000,80000000,8,"CMS Holdings ($1,000,000); OKX Ventures ($1,000,000); Amber Group ($1,000,000); Hack VC ($1,000,000); Mirana Ventures ($1,000,000)"
aura-network,Aura Network,AURA,Infrastructure,1652892.14,0.00402,0.065,0.06x,4000000.0,2.4200006178261577,40000000,40000000,5,"Arche Fund ($800,000); iStart Ventures ($800,000); Republic Crypto ($800,000); GuildFi ($800,000); Hashed ($800,000)"
league-of-traders,League of Traders,LOT,DeFi,1597500,0.010647,,,2400000.0,1.5023474178403755,24000000,24000000,5,"Alameda Research ($480,000); Cadenza Ventures ($480,000); Mirana Ventures ($480,000); BitMex ($480,000); C3 Venture Capital ($480,000)"
planck-network,Planck Network,PLANCK,Modular Blockchain,1596208.99,0.02062,,,200000000.0,125.29687606884109,2000000000,2000000000,1,"Rollman Management ($200,000,000)"
zulu-network,Zulu Network,ZULU,Infrastructure,1595280,0.011041,,,3000000.0,1.8805476154656235,30000000,30000000,8,"Waterdrip Capital ($375,000); CatcherVC ($375,000); K24 Ventures ($375,000); Web3.com Ventures ($375,000); CGV FoF (Cryptogram Venture) ($375,000)"
sidus,Sidus,SIDUS,Gaming,1592446.35,0.0001014,0.18,0.00x,21000000.0,13.1872574545447,210000000,210000000,7,"Animoca Brands ($3,000,000); OKX Ventures ($3,000,000); Sfermion ($3,000,000); Magnus Capital ($3,000,000); P2 Ventures ($3,000,000)"
exa,Exactly Protocol,EXA,DeFi,1582199.41,0.3627,,,4000000.0000000014,2.5281263377541023,20000000,20000000,8,"Uphold ($2,000,000); Kain Warwick ($285,714); NXTP Ventures ($285,714); Kaszek Ventures ($285,714); Newtopia VC ($285,714)"
fleek,Fleek,FLK,AI Agents,1547400,0.0774,,,25000000.0,16.156132868036707,200000000,200000000,4,"Polychain Capital ($6,250,000); Coinbase Ventures ($6,250,000); Digital Currency Group (DCG) ($6,250,000); North Island Ventures ($6,250,000)"
apwine,Spectra (OLD),APW,DeFi,1506032.38,0.1563,0.33255,0.47x,2600000.0,1.7263905042997816,26000000,26000000,1,"Greenfield Capital ($2,600,000)"
xociety,Xociety,XO,Gaming,1504140,0.002843,,,7500000.0,4.98623798316646,75000000,75000000,6,"The Spartan Group ($1,250,000); Hashed ($1,250,000); Big Brain Holdings ($1,250,000); Krafton ($1,250,000); Sui Foundation ($1,250,000)"
levva-protocol-token,Levva Protocol Token,LVVA,Artificial Intelligence (AI),1502446.97,0.001903,,,80000000.0,53.24647165417093,800000000,800000000,5,"Avalanche Foundation ($16,000,000); Coinbase Ventures ($16,000,000); 10T Holdings ($16,000,000); Kingsway Capital ($16,000,000); Raptor Capital ($16,000,000)"
range-protocol,Skate,SKATE,DeFi,1492360.1,0.006855,,,3749999.999999999,2.5127983520867376,37500000,37500000,7,"HashKey Capital ($535,714); Spark Digital Capital ($535,714); Mirana Ventures ($535,714); Symbolic Capital ($535,714); Nomad Capital ($535,714)"
shardeum,Shardeum,SHM,Infrastructure,1486741.2,0.0002069,,,24519600.00000001,16.492177656743497,199200000,249000000,30,"Jsquare ($1,879,985); TRGC ($1,160,000); Amber Group ($1,160,000); J17 Capital ($1,160,000); Hyperithm ($1,160,000)"
mizar,Mizar,MZR,Trading Bot,1469014.86,0.0004992,0.002,0.25x,2701250.0,1.8388173418477196,8750000,10000000,15,"David Post ($180,083); AU21 Capital ($180,083); Kairon Labs ($180,083); MEXC Global (Privcode Capital) ($180,083); Spark Digital Capital ($180,083)"
archway,Archway,ARCH,Cosmos Ecosystem,1453504.8,0.00226,0.2,0.01x,21000000.0,14.447836704770427,144800000,144800000,12,"CoinFund ($1,750,000); IDEO CoLab Ventures ($1,750,000); Blockchain Capital ($1,750,000); Hypersphere Ventures ($1,750,000); Lemniscap ($1,750,000)"
fireverse,Fireverse,FIR,Music,1450546.89,0.00729,,,2500000.0,1.7234878908326776,25000000,25000000,8,"Chain Capital ($312,500); Stratified Capital ($312,500); Gate Labs ($312,500); Central Research Capital ($312,500); T-Fund ($312,500)"
rwa-inc,RWA Inc.,RWAINC,Blockchain Service,1447446.08,0.004184,,,1180000.0000000002,0.8152289859391516,11800000,11800000,7,"DuckDAO ($168,571); Maven Capital ($168,571); Decubate ($168,571); Unreal Capital ($168,571); Castrum Capital ($168,571)"
fxhash,fxhash,,NFT,1408680,0.002709,,,5000000.0,3.549422154073317,50000000,50000000,9,"Punk DAO ($555,556); Union Square Ventures ($555,556); Tané ($555,556); Bright Opportunities ($555,556); 1kx ($555,556)"
daobase,DAOBase,BEE,Blockchain Service,1350250,0.02455,,,6000000.0,4.443621551564525,60000000,60000000,10,"LD Capital ($600,000); SevenX Ventures ($600,000); Sebastien Borget ($600,000); Y2Z Ventures ($600,000); Bitrise Capital ($600,000)"
jones-dao,Jones DAO,JONES,DAO,1317178.58,0.2538,25.38,0.01x,3000000.0,2.2775954950618766,31000000,31000000,9,"Tetranode ($333,333); [REDACTED] Cartel ($333,333); SmallCapScientist ($333,333); Xenesis ($333,333); Revofusion ($333,333)"
astroport-fi,Astroport,ASTRO,AMM,1294696.08,0.003056,,,1344000.0,1.0380814623305261,66000000,66000000,1,"Terraform Labs (Luna) ($1,344,000)"
arai,ARAI,AA,Gaming,1279258.5,0.00886,,,3999999.9999999995,3.1268113520449536,40000000,40000000,6,"Skyland Ventures ($666,667); Redpoint China Ventures ($666,667); Animoca Brands ($666,667); Folius Ventures ($666,667); HongShan (ex-Sequoia China) ($666,667)"
aark-digital,Aark Digital,AARK,Perpetual,1276085.81,0.002577,,,6000000.0,4.701878159745386,60000000,60000000,6,"Arrington Capital ($1,000,000); Morningstar Ventures ($1,000,000); HashKey Capital ($1,000,000); Infinity Ventures Crypto (IVC) ($1,000,000); Cypher Capital ($1,000,000)"
get-token,GET Protocol,GET,Blockchain Service,1237903.61,0.1087,0.9708,0.11x,4500000.0,3.6351780248867676,45000000,45000000,5,"Animoca Brands ($900,000); Sebastien Borget ($900,000); FunFair Ventures ($900,000); Redbeard Ventures ($900,000); Flow Ventures ($900,000)"
only1,LIKE,LIKE,Social,1224629.38,0.003695,0.1894,0.02x,1300000.0000000002,1.0615456571848705,13000000,13000000,9,"Folius Ventures ($144,444); Newman Capital ($144,444); Modular Capital ($144,444); tina ($144,444); Paul Kim ($144,444)"
privasea,Privasea AI,PRAI,Artificial Intelligence (AI),1216021.52,0.005918,,,5000000.000000001,4.111769337766326,50000000,50000000,7,"YZi Labs (prev Binance Labs) ($714,286); K300 Venture ($714,286); MH Ventures ($714,286); Zephyrus Capital ($714,286); Crypto Times ($714,286)"
humanode,Humanode,HMND,Blockchain Service,1206651.96,0.00717,0.1725,0.04x,12000000.0,9.944872587784136,20000000,100000000,15,"Republic ($5,000,000); Big Brain Holdings ($5,000,000); Republic Capital ($153,846); Tenzor Capital ($153,846); Wintermute ($153,846)"
aggregata,Gata,GATA,Artificial Intelligence (AI),1204000,0.006878,,,3999999.999999999,3.3222591362126237,40000000,40000000,13,"YZi Labs (prev Binance Labs) ($307,692); Formless Capital ($307,692); MH Ventures ($307,692); Gate Ventures ($307,692); Maelstrom ($307,692)"
mavryk-network,Mavryk Network,MVRK,DeFi,1188068,0.0212,,,15200000.0,12.793880484955407,52000000,100000000,7,"Multibank Group ($10,000,000); Ghaf Capital Partners ($866,667); Cluster Capital ($866,667); Collective Ventures ($866,667); Big Brain Holdings ($866,667)"
analog,Analog,ANLOG,Infrastructure,1174980.46,0.0006337,,,36000000.0,30.638807389188415,120000000,150000000,19,"Bolts Capital ($15,000,000); Tribe Capital ($1,600,000); NGC Ventures ($1,600,000); Wintermute ($1,600,000); Balaji Srinivasan ($1,600,000)"
onomy-protocol,Onomy Protocol,NOM,Multi-Chain Platform,1171289.64,0.0087,,,10000000.0,8.53759792496756,100000000,100000000,12,"GD10 Ventures ($833,333); CMS Holdings ($833,333); DWF Labs ($833,333); Bitfinex ($833,333); Arcanum Capital ($833,333)"
milkyway-2,MilkyWay,MILK,DeFi,1112280,0.004224,,,5000000.0,4.495270974934369,50000000,50000000,12,"Polychain Capital ($416,667); YZi Labs (prev Binance Labs) ($416,667); Crypto.com ($416,667); LongHash Ventures ($416,667); Hack VC ($416,667)"
leverfi,LeverFi,LEVER,DeFi,1103999.93,1.987e-05,,,7000000.0,6.340580112174464,50000000,20000000,2,"Unicorn-Verse ($5,000,000); DWF Labs ($2,000,000)"
parastate,SafeStake,DVT,Multi-Chain Platform,1097663.61,0.0185,0.195,0.09x,3529500.000000001,3.215465984155201,195000000,195000000,18,"MV Global ($196,083); Maven 11 Capital ($196,083); PARSIQ ($196,083); pSquare Capital ($196,083); DuckDAO ($196,083)"
ethereum-push-notification-service,Push Protocol,PUSH,Infrastructure,1079228.32,0.01197,0.12,0.10x,10100000.000000002,9.358538701060032,101000000,101000000,18,"Aniket Jindal ($561,111); Ryze Labs (Sino Global Capital) ($561,111); Kain Warwick ($561,111); iSeed ($561,111); Tiger Global Management ($561,111)"
cross-the-ages,Cross The Ages,CTA,Gaming,1073631.6,0.01808,,,15500000.0,14.436981921918095,120000000,35000000,11,"Animoca Brands ($2,366,667); Sebastien Borget ($2,366,667); Mechanism Capital ($1,200,000); Morningstar Ventures ($1,200,000); Fundamental Labs ($1,200,000)"
rivalz-network,Rivalz Network,RIZ,Infrastructure,1072950,0.000934,,,8999999.999999998,8.388088913742484,90000000,90000000,29,"Delphi Ventures ($310,345); Momentum 6 ($310,345); Caballeros Capital ($310,345); Kyros Ventures ($310,345); x21 Digital ($310,345)"
zypher-network,Zypher Network,POP,Infrastructure,1068746.67,0.000737,,,7000000.0,6.54972800991277,70000000,70000000,8,"HashKey Capital ($875,000); Signum Capital ($875,000); CatcherVC ($875,000); UOB Venture Management ($875,000); Cogitent Ventures ($875,000)"
rejuve-ai,Rejuve.AI,RJV,DeSci,1055040.43,0.001968,51.65,0.00x,500000.0,0.47391548776950665,12500000,12500000,3,"Baselayer Capital ($166,667); SingularityNET ($166,667); Cryptopia VC ($166,667)"
sekuya-2,Sekuya,SKYA,Gaming,1036747.56,0.002135,,,1600000.0,1.5432879340463554,16000000,16000000,8,"OIG Oracles Investment Group ($200,000); Gains Associates ($200,000); SingularityDAO ($200,000); NewTribe Capital ($200,000); SeedThrift Ventures ($200,000)"
altered-state-token,Altered State Machine,ASTO,Metaverse,1022742.26,0.003533,,,11000000.0,10.755397943564002,110000000,110000000,12,"Outlier Ventures ($916,667); Delphi Digital (Delphi Labs) ($916,667); Dialectic Capital ($916,667); Digital Asset Capital Management (DACM) ($916,667); Flamingo DAO ($916,667)"
azuro-protocol,Azuro Protocol,AZUR,Gaming,1016668.58,0.004196,,,11000000.000000004,10.819651768917659,35000000,35000000,23,"SevenX Ventures ($1,026,442); Red Beard Ventures ($1,026,442); Arrington Capital ($807,692); Polymorphic Capital ($718,750); Hypersphere Ventures ($526,442)"
silo-finance,Silo Finance [OLD],SILO,Protocol,1012892.49,0.009696,0.1,0.10x,122500.0,0.12094077230249776,1225000,1225000,1,"Sonic ($122,500)"
zipmex-token,Zipmex Token,ZMT,CEX,976961.11,0.01103,,,11000000.0,11.259404174235758,110000000,110000000,4,"Krungsri Finnovate ($2,750,000); B Capital ($2,750,000); MindWorks Capital ($2,750,000); TNB Aura ($2,750,000)"
covalent,Covalent Query Token,CQT,Artificial Intelligence (AI),966622.51,0.001129,0.35,0.00x,5000000.0,5.172650076191584,50000000,50000000,4,"Moonrock Capital ($1,250,000); RockTree Capital ($1,250,000); Double Peak ($1,250,000); CMCC Global ($1,250,000)"
thruster,Thruster,THRUST,DEX,953118.62,0.006133,,,7500000.0,7.868905131661367,70000000,70000000,16,"Pantera Capital ($468,750); Rarestone Capital ($468,750); ParaFi Capital ($468,750); OKX Ventures ($468,750); Arche Fund ($468,750)"
creatordao,CreatorDAO,CREATOR,DAO,949381.55,0.003315,,,19999999.99999999,21.066345770043654,200000000,200000000,21,"Position Ventures ($952,381); MGU Capital ($952,381); Andreessen Horowitz (a16z) ($952,381); SV Angel ($952,381); Initialized Capital ($952,381)"
suzaku-token,Suzaku Token,SUZ,Infrastructure,918362.86,0.03115,,,1500000.0,1.6333413134760262,15000000,15000000,7,"Yield Yak ($214,286); Blizzard Fund (Avalanche Ecosystem) ($214,286); Nicolas Rémond ($214,286); 50 Partners ($214,286); Tegridy Capital ($214,286)"
shade-protocol,Shade Protocol,SHD,Privacy Coin,913946.85,0.1761,,,5000000.000000002,5.470777649706875,64500000,64500000,18,"SCRT Labs ($277,778); Composable ($277,778); Shima Capital ($277,778); Momentum 6 ($277,778); a41 Ventures ($277,778)"
units,Units Network,UNIT0,Layer-2,906289.91,0.08186,,,10000000.0,11.03399683661931,100000000,100000000,1,"Nimbus Capital ($10,000,000)"
alex-lab,ALEX Lab,ALEX,DeFi,900637.47,0.00148,,,12500000.0,13.879058351858268,25000000,100000000,12,"Gossamer Capital ($1,250,000); Trust Machines ($1,250,000); The Spartan Group ($1,000,000); CMS Holdings ($1,000,000); Everest Ventures ($1,000,000)"
nubila-network,Nubila Network,NB,Blockchain Service,881360,0.00479,,,10500000.0,11.913406553508215,25000000,80000000,18,"IoTeX ($1,778,571); BlockSpaceForce ($1,600,000); Quantum Holdings ($1,600,000); Assembly Partners ($1,600,000); Synharbour AI ($1,600,000)"
elixir-2,Elixir,ELX,DeFi,880222.37,0.003366,,,17600000.000000004,19.994947413117895,21000000,800000000,15,"NGC Ventures ($1,875,000); AngelList ($1,875,000); Hack VC ($1,875,000); Bloccelerate ($1,875,000); Amber Group ($1,142,857)"
ithaca-protocol,Ithaca Protocol,ITHACA,DeFi,878783.48,0.005043,,,2500000.0,2.8448418261117063,25000000,25000000,6,"Cumberland ($416,667); Wintermute ($416,667); Andrew Keys ($416,667); Ghaf Capital Partners ($416,667); Georgios Vlachos ($416,667)"
belong,Belong,LONG,Blockchain Service,867922.33,0.01187,,,8000000.000000002,9.21741465045611,80000000,80000000,11,"Bitsgap ($727,273); Talkable ($727,273); Smart Arbitrage ($727,273); Atomic Summit Financial ($727,273); G1 Ventures ($727,273)"
maple,Maple,MPL,Lending Platform,828814.1,0.1876,17.09,0.01x,5000000.0,6.032715900948114,50000000,50000000,8,"Tioga Capital Partners ($625,000); Strobe (Prev. BlockTower Capital) ($625,000); Framework Ventures ($625,000); The Spartan Group ($625,000); Maven 11 Capital ($625,000)"
celsius-degree-token,Celsius Network,CEL,Lending Platform,824754.62,0.02305,0.3,0.08x,42800000.0,51.89422279319878,428000000,428000000,1,"Nuri ($42,800,000)"
anzen-finance,Anzen Finance,ANZ,Stablecoin Issuer,821513.33,0.0009652,,,4000000.0,4.86906280632111,40000000,40000000,9,"Infinity Ventures Crypto (IVC) ($444,444); Cherubic Ventures ($444,444); M31 Capital ($444,444); Palm Drive Capital ($444,444); Arca ($444,444)"
moonveil,Moonveil,MORE,Gaming,806446.87,0.004489,,,11000000.0,13.64008022003979,54000000,20000000,11,"P2 Ventures ($2,000,000); gumi Cryptos Capital ($1,680,000); IOSG Ventures ($1,080,000); Infinity Ventures Crypto (IVC) ($1,080,000); LongHash Ventures ($1,080,000)"
coral-finance,Coral Finance,CORL,DEX,806062.63,0.003272,,,5000000.0,6.202991943690529,15000000,30000000,8,"Zebec Labs ($1,500,000); Momentum Capital ($500,000); Mask Network ($500,000); Formless Capital ($500,000); Gate Ventures ($500,000)"
airdao,Ascendia (ex AirDAO),AMB,Blockchain,753816.77,9.935e-05,0.298,0.00x,9500000.0,12.602532045022029,20000000,75000000,1,"DWF Labs ($9,500,000)"
orbofi-ai,Orbofi AI,OBI,AI Agents,748235.94,0.0005225,0.008,0.07x,2800000.0,3.7421351345405838,28000000,28000000,5,"OIG Oracles Investment Group ($560,000); CSP DAO ($560,000); Halvings Capital ($560,000); Zephyrus Capital ($560,000); Cogitent Ventures ($560,000)"
zerolend,ZeroLend,ZERO,Lending Platform,747062.39,9.092e-06,,,3000000.0,4.015728860343244,25000000,25000000,17,"Morningstar Ventures ($176,471); Momentum 6 ($176,471); GBV Capital ($176,471); Genblock Capital ($176,471); Krypital Group ($176,471)"
aura-2,Aura,,Blockchain Service,732640.66,0.04104,,,5500000.0,7.507090856791923,55000000,55000000,4,"Daxos Capital ($1,375,000); Manifold Trading ($1,375,000); Selini Capital ($1,375,000); Hermeneutic Investments ($1,375,000)"
galaxis,GALAXIS Token,GALAXIS,Arbitrum Ecosystem,679732.03,0.0002004,,,15000000.0,22.067519754806906,100000000,50000000,6,"Bolts Capital ($5,000,000); Johnny Zcash ($2,000,000); Rarestone Capital ($2,000,000); ChainLink ($2,000,000); Taisu Ventures ($2,000,000)"
burrow,Burrow,BRRR,Lending Platform,669264.2,0.001104,,,5000000.0,7.470891166747005,50000000,50000000,10,"GFS Ventures ($500,000); SevenX Ventures ($500,000); Mentha Partners ($500,000); Jump Crypto ($500,000); Dragonfly Capital ($500,000)"
gari-network,Gari Network,GARI,DAO,650821.58,0.001158,0.4,0.00x,15000000.000000004,23.047791377784375,150000000,150000000,18,"Borderless Ventures ($833,333); Kraken ($833,333); Galaxy ($833,333); JPIN ($833,333); Solana Ventures ($833,333)"
alongside-crypto-market-index,Alongside Crypto Market Index,AMKT,Index,642334.36,262.89,,,11000000.0,17.12503749604801,110000000,110000000,6,"Village Global ($1,833,333); Franklin Templeton ($1,833,333); Broadhaven ($1,833,333); Andreessen Horowitz (a16z) ($1,833,333); Not Boring Capital ($1,833,333)"
xana,XANA,XETA,Metaverse,632952.7,0.0001284,0.01,0.01x,1600000.0,2.5278350183196947,32000000,32000000,3,"Model press ($533,333); RedBlock ($533,333); DAO Maker ($533,333)"
agridex,AgriDex,ARGI,RWA (Real World Assets),630315,0.005996,,,9000000.0,14.278574998215179,50000000,40000000,7,"Endeavor Capital ($1,666,667); African Crops ($1,666,667); Oldenburg Vineyards ($1,666,667); Portal Ventures ($1,000,000); Endeavour Capital ($1,000,000)"
iskra-token,ISKRA Token,ISK,Web 3.0,611095.58,0.001132,,,40000000.0,65.45620899434422,400000000,400000000,6,"Wemade ($6,666,667); Netmarble ($6,666,667); Krust ($6,666,667); Kakao ($6,666,667); NEOWIZ ($6,666,667)"
teafi-token,TeaFi Token,TEA,BNB Chain Ecosystem,610087.58,0.1062,,,35000000.0,57.36881252360522,350000000,350000000,1,"Rollman Management ($35,000,000)"
lumoz,Lumoz,MOZ,Blockchain,582465.09,0.000399,,,10000000.0,17.168410899956253,40000000,120000000,8,"Web3.com Ventures ($4,000,000); HashKey Capital ($857,143); Kronos Research ($857,143); OKX Ventures ($857,143); Sandeep Nailwal ($857,143)"
passage,Passage,PASG,Social,577355.88,0.0004239,,,6000000.0,10.392203851808004,60000000,60000000,6,"Druid Ventures ($1,000,000); Cosmostation ($1,000,000); Akash Network ($1,000,000); HyperChain Capital ($1,000,000); Cogitent Ventures ($1,000,000)"
amnis-finance,Amnis Finance,AMI,Liquid Staking Protocols,530306.8,0.01043,,,2000000.0000000005,3.7714017621497598,20000000,20000000,11,"Borderless Capital ($181,818); OKX Ventures ($181,818); Chorus One ($181,818); SkyVision Capital ($181,818); Old Fashion Research ($181,818)"
decimated,Decimated,DIO,Play to Earn,496539.5,0.000914,0.05,0.02x,4500000.0,9.062723106620924,45000000,45000000,8,"The Spartan Group ($562,500); Cointelligence ($562,500); Alameda Research ($562,500); Mechanism Capital ($562,500); HTX Ventures (previously Huobi Ventures) ($562,500)"
magic-square,Magic Square,SQR,Web 3.0,496081.18,0.001239,0.1,0.01x,3900000.0,7.861616520102618,30000000,30000000,6,"YZi Labs (prev Binance Labs) ($650,000); Republic Capital ($650,000); KuCoin ($650,000); GTS Ventures ($650,000); GSR Markets (GSR) ($650,000)"
carbon-browser,Carbon Browser,CSIX,Wallet,489385.97,0.001229,0.01,0.12x,600000.0,1.226026156818513,7500000,7500000,2,"Poolz ($300,000); Trustswap ($300,000)"
walken,Walken,WLKN,Move To Earn,481584.2,0.0003165,0.0165,0.02x,4737000.0,9.83628615722858,14500000,30000000,14,"Shima Capital ($380,665); YGG Southeast Asia ($380,665); Infinity Ventures Crypto (IVC) ($380,665); NFT Technologies ($380,665); Genblock Capital ($380,665)"
apeiron-2,Apeiron,APRS,Gaming,474120.3,0.002393,,,13000000.0,27.41920141364966,50000000,80000000,11,"Morningstar Ventures ($2,000,000); The Spartan Group ($2,000,000); Hashed ($2,000,000); DeFiance Capital ($2,000,000); DeFi Capital ($2,000,000)"
fragmetric,Fragmetric,FRAG,Liquid Restaking Tokens (LRTs),471670,0.002337,,,12000000.0,25.441516314372336,70000000,50000000,11,"Hypersphere Ventures ($2,000,000); Robot Ventures ($1,000,000); RockawayX ($1,000,000); Amber Group ($1,000,000); Bitgo ($1,000,000)"
monkeyball,LINEUP Games,MBS,Gaming,469265.94,0.0007503,0.037515,0.02x,24000000.0,51.143707553120095,240000000,240000000,2,"6MV (6th Man Ventures) ($12,000,000); Griffin Gaming Partners ($12,000,000)"
redacted-2,Redacted,RDAC,Web 3.0,452149.34,0.003274,,,10000000.0,22.116586524266516,100000000,100000000,4,"Animoca Brands ($2,500,000); The Spartan Group ($2,500,000); P2 Ventures ($2,500,000); Saison Capital ($2,500,000)"
wifi-map,WiFi Map,WIFI,DePIN,445808.26,0.0006425,0.025,0.03x,1150000.0,2.5795843262302944,12500000,12500000,2,"Trustswap ($575,000); DWF Labs ($575,000)"
nodecoin-2,Nodepay,NC,Artificial Intelligence (AI),440141.25,0.002365,,,7000000.0,15.903985368333462,70000000,70000000,8,"IDG Capital ($875,000); London Real Ventures ($875,000); Optic Capital ($875,000); IBC Ventures ($875,000); Elevate Community Ventures ($875,000)"
datagram-network,Datagram Network,DGRAM,Infrastructure,433160.8,0.00174,,,4000000.0,9.234445960945681,40000000,40000000,10,"Animoca Brands ($400,000); Arche Fund ($400,000); Amber Group ($400,000); Blizzard Fund (Avalanche Ecosystem) ($400,000); Aquanow ($400,000)"
gam3sgg,GAM3S.GG,G3,Gaming,430498.98,0.000711,,,4000000.0,9.29154350145034,20000000,20000000,34,"P2 Ventures ($230,263); Commonwealth ($125,000); MixMarvel DAO Venture ($125,000); Mechanism Capital ($125,000); LD Capital ($125,000)"
hubble,Hubble,HBB,Protocol,399172.15,0.005843,1,0.01x,5000000.0,12.525923965386863,50000000,50000000,1,"Multicoin Capital ($5,000,000)"
play-ai,Play AI,PLAI,Infrastructure,397596,0.001949,,,4300000.0,10.814998138814273,70000000,70000000,6,"P2 Ventures ($716,667); MH Ventures ($716,667); Jump Crypto ($716,667); Tykhe Block Ventures ($716,667); Alpha Wave Global ($716,667)"
xraders,Xraders,XR,Blockchain Service,396560.38,0.00714,,,2100000.0,5.295536583861454,21000000,21000000,10,"GBV Capital ($210,000); Digital Strategies ($210,000); FBG Capital ($210,000); Basics Capital ($210,000); Icetea Labs (Icetea.io) ($210,000)"
wombat-exchange,Wombat Exchange,WOM,PancakeSwap IDO,390185.39,0.001753,0.075,0.02x,7349999.999999999,18.837199414360438,70000000,70000000,12,"Wormhole ($700,000); Jump Capital ($700,000); Shima Capital ($700,000); Eureka Trading ($583,333); GSR Markets (GSR) ($583,333)"
fly-2,Fly,FLY,DeFi,388602.5,0.03013,,,3040000.0,7.8229038670621005,30000000,400000,16,"Republic Capital ($200,000); ParaFi Capital ($200,000); D1 Ventures ($200,000); Sandeep Nailwal ($200,000); Double Peak ($200,000)"
evmos,Evmos,EVMOS,Cosmos Ecosystem,385833.48,0.0006912,,,27000000.000000004,69.97837512701076,270000000,270000000,7,"Galaxy Ventures ($3,857,143); HTX Ventures (previously Huobi Ventures) ($3,857,143); Polychain Capital ($3,857,143); HashKey Capital ($3,857,143); Circle Ventures ($3,857,143)"
goracle,Gora,GORA,Layer-2,384940,0.01013,0.45,0.02x,1500000.0,3.8967111757676522,22500000,22500000,7,"Algorand ($214,286); Parea Capital ($214,286); Valhalla Capital ($214,286); Big Brain Holdings ($214,286); Xpand Capital ($214,286)"
astrafer,Astrafer,ASTRAFER,Gaming,374775.35,0.002396,,,19300000.0,51.497517112584916,193000000,193000000,9,"P2 Ventures ($2,144,444); Kingsway Capital ($2,144,444); Animoca Brands ($2,144,444); Liberty City Ventures ($2,144,444); Avocado Guild (Avocado DAO) ($2,144,444)"
